Date,Open,High,Low,Close,Adj Close,Volume
2009-12-14,306.875000,314.750000,306.256012,312.343994,126.617096,9189776
2009-12-15,311.250000,314.375000,310.649994,313.256012,126.986794,8746848
2009-12-16,313.250000,319.500000,310.825012,318.112000,128.955353,9163072
2009-12-17,318.125000,321.493988,316.899994,319.875000,129.669983,8603088
2009-12-18,320.500000,320.500000,313.625000,315.743988,127.995384,11180776
2009-12-21,310.355988,318.100006,309.593994,313.763000,127.192322,8766008
2009-12-22,314.987000,316.263000,312.100006,312.799988,126.801918,5762168
2009-12-23,313.875000,324.375000,313.875000,322.968994,130.924255,10708656
2009-12-24,324.237000,325.000000,320.019012,323.975006,131.332062,5583144
2009-12-29,324.388000,325.237000,320.412994,322.144012,130.589828,6281944
2009-12-30,320.888000,326.250000,320.462006,322.500000,130.734131,4970400
2009-12-31,323.125000,326.750000,323.125000,325.138000,131.803513,9255248
2010-01-04,326.250000,328.750000,324.412994,326.575012,132.386032,4069264
2010-01-05,327.500000,328.837006,325.013000,327.669006,132.829498,6895528
2010-01-06,335.375000,335.375000,321.888000,322.888000,130.891403,6817288
2010-01-07,323.325012,323.325012,314.774994,315.631012,127.949585,10892600
2010-01-08,314.875000,315.412994,307.250000,308.024994,124.866257,12649312
2010-01-11,309.388000,313.087006,309.250000,311.205994,126.155777,7849656
2010-01-12,312.500000,324.250000,312.500000,323.368988,131.086380,24859680
2010-01-13,309.605988,336.875000,309.605988,335.437988,135.978867,19704040
2010-01-14,334.875000,337.862000,331.274994,336.218994,136.295486,8413904
2010-01-15,336.218994,336.562012,331.769012,334.475006,135.588486,5049504
2010-01-18,332.875000,336.250000,332.000000,335.830994,136.138199,6140088
2010-01-19,335.000000,336.000000,328.513000,329.487000,133.566498,5837512
2010-01-20,331.080994,334.149994,329.750000,332.212006,134.671158,6091992
2010-01-21,330.375000,333.087006,325.000000,328.149994,133.024506,6682792
2010-01-22,325.000000,326.250000,319.000000,321.950012,130.511139,13486496
2010-01-25,318.750000,321.243988,314.750000,317.787994,128.823975,6498712
2010-01-27,316.500000,316.730988,310.644012,312.781006,126.794243,9840856
2010-01-28,314.125000,319.362000,309.937988,311.468994,126.262413,12732872
2010-01-29,306.549988,312.500000,300.600006,309.437988,125.439079,15012280
2010-02-01,305.875000,316.250000,298.763000,306.406006,124.209961,12308784
2010-02-02,312.625000,312.625000,302.705994,304.993988,123.637581,9889384
2010-02-03,306.250000,312.500000,306.250000,309.149994,125.322319,6405608
2010-02-04,308.125000,308.750000,301.562012,303.631012,123.085022,6176408
2010-02-05,298.799988,299.806000,291.125000,294.087006,119.216125,13544872
2010-02-06,null,null,null,null,null,null
2010-02-08,296.862000,305.250000,293.062012,300.450012,121.795540,9252480
2010-02-09,300.500000,310.250000,299.281006,309.225006,125.352760,10387392
2010-02-10,311.375000,312.024994,306.000000,308.368988,125.005745,7187984
2010-02-11,309.125000,314.769012,308.750000,312.306000,126.601730,6453888
2010-02-15,313.375000,317.799988,309.355988,312.330994,126.611824,8950128
2010-02-16,312.500000,318.875000,311.031006,317.681000,128.780609,4418096
2010-02-17,318.774994,320.799988,314.200012,314.830994,127.625290,7991184
2010-02-18,315.375000,318.375000,314.000000,316.705994,128.385345,3721696
2010-02-19,315.612000,318.062012,313.144012,316.549988,128.322113,5998992
2010-02-22,319.388000,323.962006,319.388000,321.044006,130.143890,5855400
2010-02-23,319.763000,323.625000,319.375000,322.662994,130.800186,3786032
2010-02-24,321.000000,324.787994,318.875000,322.037994,130.546814,5427016
2010-02-25,321.325012,328.712006,321.325012,327.169006,132.626831,8729568
2010-02-26,327.375000,328.750000,322.763000,325.243988,131.846481,10546368
2010-03-02,328.944000,331.343994,327.830994,330.125000,133.825089,8534656
2010-03-03,331.388000,334.562012,329.080994,333.281006,135.104507,5904976
2010-03-04,332.750000,333.000000,325.500000,327.975006,132.953552,6755240
2010-03-05,329.237000,330.000000,326.631012,329.462006,133.556351,4984808
2010-03-08,331.625000,334.919006,329.763000,332.444000,134.765198,8664992
2010-03-09,331.256012,337.687988,327.230988,335.493988,136.001572,7958752
2010-03-10,334.362000,336.431000,331.250000,332.406006,134.749786,7330952
2010-03-11,333.125000,336.875000,331.250000,335.368988,135.950912,4298424
2010-03-12,337.487000,338.000000,332.037994,334.156006,135.459213,3176920
2010-03-15,331.799988,339.062012,329.500000,337.656006,136.877991,10582856
2010-03-16,337.500000,343.118988,335.287994,341.544006,138.454102,5881344
2010-03-17,341.875000,344.212006,339.125000,342.287994,138.755692,6352000
2010-03-18,342.500000,349.237000,342.500000,348.450012,141.253632,8923048
2010-03-19,347.513000,349.375000,345.006012,346.544006,140.481003,12582544
2010-03-22,344.013000,347.125000,342.862000,344.674988,139.723328,4108528
2010-03-23,346.256012,349.875000,345.519012,346.937988,140.640717,4792560
2010-03-25,346.375000,358.750000,343.855988,351.743988,142.588974,15207528
2010-03-26,352.000000,353.125000,345.375000,346.855988,140.607468,9105680
2010-03-29,344.750000,346.250000,337.531006,339.580994,137.658371,13981704
